,opening_price,high_price,low_price,trade_price,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
2017-09-25 09:00:00,4201000.0,4333000.0,4175000.0,4322000.0,560214613.8164,132.48475499,4201000.0,121000.0,0.028802666
2017-09-26 09:00:00,4317000.0,4418000.0,4311000.0,4321000.0,99507239.78705,22.78833969,4322000.0,-1000.0,-0.0002313744
2017-09-27 09:00:00,4322000.0,4677000.0,4318000.0,4657000.0,144827622.95669,32.2696617,4321000.0,336000.0,0.0777597778
2017-09-28 09:00:00,4657000.0,4772000.0,4519000.0,4586000.0,372185978.32992,80.5882434,4657000.0,-71000.0,-0.0152458664
2017-09-29 09:00:00,4586000.0,4709000.0,4476000.0,4657000.0,272455756.80078,59.35237346,4586000.0,71000.0,0.0154819014
2017-09-30 09:00:00,4657000.0,4896000.0,4651000.0,4895000.0,95614755.70559,19.99848332,4657000.0,238000.0,0.0511058621
2017-10-01 09:00:00,4889000.0,4978000.0,4682000.0,4962000.0,133132538.89401,27.32333246,4895000.0,67000.0,0.0136874362
2017-10-02 09:00:00,4962000.0,5095000.0,4956000.0,5025000.0,159931532.80646,31.72800385,4962000.0,63000.0,0.0126964933
2017-10-03 09:00:00,5021000.0,5079000.0,4811000.0,4964000.0,58901304.61549,11.89930699,5025000.0,-61000.0,-0.0121393035
2017-10-04 09:00:00,4987000.0,5002000.0,4837000.0,4895000.0,34588125.30359,7.03874388,4964000.0,-69000.0,-0.0139000806
2017-10-05 09:00:00,4894000.0,4993000.0,4811000.0,4926000.0,26371319.19136,5.36365175,4895000.0,31000.0,0.0063329928
2017-10-06 09:00:00,4927000.0,5034000.0,4885000.0,5027000.0,123935127.5442,25.16382027,4926000.0,101000.0,0.0205034511
2017-10-07 09:00:00,4983000.0,5070000.0,4935000.0,5047000.0,21667485.97149,4.343932,5027000.0,20000.0,0.003978516
2017-10-08 09:00:00,5044000.0,5263000.0,4993000.0,5217000.0,738294004.47278,145.91785961,5047000.0,170000.0,0.0336833763
2017-10-09 09:00:00,5222000.0,5761000.0,5188000.0,5477000.0,43270591.14121,8.07043419,5217000.0,260000.0,0.0498370711
2017-10-10 09:00:00,5469000.0,5665000.0,5459000.0,5486000.0,64822758.50704,11.69369387,5477000.0,9000.0,0.0016432353
2017-10-11 09:00:00,5533000.0,5605000.0,5451000.0,5557000.0,23324891.84167,4.21265003,5486000.0,71000.0,0.0129420343
2017-10-12 09:00:00,5569000.0,6377000.0,5515000.0,6332000.0,118992386.99591,20.91828711,5557000.0,775000.0,0.1394637394
2017-10-13 09:00:00,6346000.0,6950000.0,6149000.0,6438000.0,175283223.76282,26.82608423,6332000.0,106000.0,0.0167403664
2017-10-14 09:00:00,6427000.0,6664000.0,6322000.0,6664000.0,21713362.01115,3.35282452,6438000.0,226000.0,0.0351040696
2017-10-15 09:00:00,6610000.0,6700000.0,6142000.0,6381000.0,48606365.59432,7.63078273,6664000.0,-283000.0,-0.0424669868
2017-10-16 09:00:00,6403000.0,6527000.0,6282000.0,6491000.0,146271226.15592,22.92663476,6381000.0,110000.0,0.0172386773
2017-10-17 09:00:00,6495000.0,6510000.0,6299000.0,6457000.0,27260409.19505,4.24133721,6491000.0,-34000.0,-0.0052380219
2017-10-18 09:00:00,6413000.0,6489000.0,5876000.0,6391000.0,219208847.48369,36.00111898,6457000.0,-66000.0,-0.0102214651
2017-10-19 09:00:00,6405000.0,6596000.0,6109000.0,6511000.0,76025647.17432,11.95565558,6391000.0,120000.0,0.0187764043
2017-10-20 09:00:00,6536000.0,6954000.0,6395000.0,6928000.0,145159280.71805,21.97426401,6511000.0,417000.0,0.0640454615
2017-10-21 09:00:00,6928000.0,7253000.0,6773000.0,6874000.0,38250145.45411,5.46210809,6928000.0,-54000.0,-0.0077944573
2017-10-22 09:00:00,6858000.0,7060000.0,6709000.0,7039000.0,30054045.84628,4.39101644,6874000.0,165000.0,0.0240034914
2017-10-23 09:00:00,7017000.0,7100000.0,6668000.0,6971000.0,97052524.49132,14.03934445,7039000.0,-68000.0,-0.0096604631
2017-10-24 09:00:00,7034000.0,7052000.0,6350000.0,6479000.0,651377192.14619,98.6742294,6971000.0,-492000.0,-0.0705781093
2017-10-25 09:00:00,6479000.0,6644000.0,6212000.0,6643000.0,695968675.01792,108.36397361,6479000.0,164000.0,0.0253125482
2017-10-26 09:00:00,6643000.0,6873000.0,6534000.0,6811000.0,2881467621.80027,428.50851968,6643000.0,168000.0,0.0252897787
2017-10-27 09:00:00,6765000.0,6950000.0,6633000.0,6710000.0,2917092203.66689,431.20412963,6811000.0,-101000.0,-0.0148289532
2017-10-28 09:00:00,6708000.0,6800000.0,6600000.0,6715000.0,2708305312.92229,404.19563617,6710000.0,5000.0,0.0007451565
2017-10-29 09:00:00,6715000.0,7030000.0,6588000.0,6961000.0,4413173510.25254,656.27989369,6715000.0,246000.0,0.0366344006
2017-10-30 09:00:00,6961000.0,7007000.0,6809000.0,6964000.0,3621429303.55395,521.84628417,6961000.0,3000.0,0.0004309726
2017-10-31 09:00:00,6965000.0,7479000.0,6965000.0,7422000.0,8331387759.05405,1170.54812455,6964000.0,458000.0,0.0657668007
2017-11-01 09:00:00,7422000.0,7799000.0,7256000.0,7798000.0,8657129768.27674,1164.45059943,7422000.0,376000.0,0.0506601994
2017-11-02 09:00:00,7790000.0,8596000.0,7500000.0,8217000.0,14621738292.19718,1806.67768011,7798000.0,419000.0,0.0537317261
2017-11-03 09:00:00,8219000.0,8478000.0,8000000.0,8143000.0,8480692936.98769,1025.40458685,8217000.0,-74000.0,-0.0090057198
2017-11-04 09:00:00,8136000.0,8400000.0,7560000.0,8346000.0,7137573137.46992,881.59851324,8143000.0,203000.0,0.0249293872
2017-11-05 09:00:00,8345000.0,8620000.0,8280000.0,8453000.0,8409963563.14026,993.49954201,8346000.0,107000.0,0.0128205128
2017-11-06 09:00:00,8454000.0,8480000.0,8030000.0,8060000.0,15924418602.8134,1914.09607157,8453000.0,-393000.0,-0.0464923696
2017-11-07 09:00:00,8060000.0,8413000.0,8050000.0,8243000.0,15264884249.39165,1858.95589505,8060000.0,183000.0,0.0227047146
2017-11-08 09:00:00,8244000.0,8639000.0,8060000.0,8339000.0,18964680864.9587,2280.72049163,8243000.0,96000.0,0.0116462453
2017-11-09 09:00:00,8338000.0,8340000.0,8041000.0,8148000.0,20397973001.43914,2491.80910057,8339000.0,-191000.0,-0.022904425
2017-11-10 09:00:00,8150000.0,8240000.0,7320000.0,7541000.0,28271699640.03251,3612.89564315,8148000.0,-607000.0,-0.074496809
2017-11-11 09:00:00,7541000.0,7897000.0,7009000.0,7231000.0,25386732062.7362,3407.25730505,7541000.0,-310000.0,-0.0411086063
2017-11-12 09:00:00,7231000.0,8250000.0,6476000.0,7132000.0,59303943335.4971,8255.02328981,7231000.0,-99000.0,-0.0136910524
2017-11-13 09:00:00,7132000.0,7898000.0,6921000.0,7487000.0,68979166583.98106,9275.45757255,7132000.0,355000.0,0.049775659
2017-11-14 09:00:00,7471000.0,7699000.0,7430000.0,7591000.0,49083415078.93159,6500.25828248,7487000.0,104000.0,0.013890744
2017-11-15 09:00:00,7592000.0,8397000.0,7560000.0,8350000.0,60575966230.99168,7565.29668171,7591000.0,759000.0,0.0999868265
2017-11-16 09:00:00,8350000.0,8750000.0,8150000.0,8710000.0,66362578166.67221,7885.12189571,8350000.0,360000.0,0.0431137725
2017-11-17 09:00:00,8710000.0,8899000.0,8400000.0,8541000.0,73541971046.96329,8479.64307876,8710000.0,-169000.0,-0.0194029851
2017-11-18 09:00:00,8542000.0,8699000.0,8356000.0,8618000.0,71270791002.62938,8359.23158399,8541000.0,77000.0,0.0090153378
2017-11-19 09:00:00,8618000.0,8888000.0,8495000.0,8770000.0,51704190379.62344,6018.17460761,8618000.0,152000.0,0.0176375029
2017-11-20 09:00:00,8770000.0,9181000.0,8655000.0,9025000.0,98856175269.8701,11144.14671373,8770000.0,255000.0,0.0290763968
2017-11-21 09:00:00,8994000.0,9230000.0,8500000.0,8944000.0,132652866037.0233,14774.66683164,9025000.0,-81000.0,-0.0089750693
2017-11-22 09:00:00,8944000.0,9200000.0,8932000.0,9084000.0,125645415654.13206,13847.87059897,8944000.0,140000.0,0.0156529517
2017-11-23 09:00:00,9084000.0,9134000.0,8905000.0,8943000.0,125047210622.13188,13841.87719654,9084000.0,-141000.0,-0.0155217966
2017-11-24 09:00:00,8945000.0,9670000.0,7182000.0,9195000.0,205808331428.20932,22584.05850985,8943000.0,252000.0,0.0281784636
2017-11-25 09:00:00,9195000.0,9908000.0,8930000.0,9879000.0,127609531945.92574,13583.46813243,9195000.0,684000.0,0.0743882545
2017-11-26 09:00:00,9879000.0,10750000.0,9751000.0,10344000.0,219495708155.25916,21616.95893054,9879000.0,465000.0,0.0470695415
2017-11-27 09:00:00,10339000.0,11320000.0,10333000.0,11314000.0,212595498131.18753,19495.17150332,10344000.0,970000.0,0.0937741686
2017-11-28 09:00:00,11315000.0,12074000.0,11111000.0,12048000.0,361833928118.68604,31149.61770187,11314000.0,734000.0,0.0648753756
2017-11-29 09:00:00,12050000.0,13750000.0,10800000.0,11104000.0,583392545363.8435,46072.10048672,12048000.0,-944000.0,-0.0783532537
2017-11-30 09:00:00,11114000.0,12550000.0,10017000.0,11935000.0,468921379821.1759,41015.72824001,11104000.0,831000.0,0.0748378963
