,opening_price,high_price,low_price,trade_price,candle_acc_trade_price,candle_acc_trade_volume
2018-08-02 09:00:00,180.0,700.0,180.0,228.0,28975862032.851215,85850208.7587809
2018-08-03 09:00:00,227.0,229.0,190.0,198.0,1912657403.9377189,9427511.58593982
2018-08-04 09:00:00,199.0,199.0,150.0,182.0,659436692.303029,3576602.38939734
2018-08-05 09:00:00,179.0,200.0,176.0,200.0,103387471.92621906,550639.81120217
2018-08-06 09:00:00,200.0,216.0,181.0,186.0,372346392.23929137,1854041.97221715
2018-08-07 09:00:00,186.0,189.0,175.0,178.0,119504157.6933464,650659.68529364
2018-08-08 09:00:00,175.0,176.0,149.0,149.0,100968226.77516031,620387.16880099
2018-08-09 09:00:00,150.0,174.0,150.0,165.0,67327773.22190878,419228.93242377
2018-08-10 09:00:00,167.0,176.0,146.0,151.0,61412983.27185596,373796.9439389
2018-08-11 09:00:00,150.0,151.0,141.0,143.0,11991710.25696423,82593.18633064
2018-08-12 09:00:00,143.0,148.0,140.0,140.0,11242703.26302522,79507.46140543
2018-08-13 09:00:00,140.0,149.0,126.0,126.0,35059600.69006929,256776.0148494
2018-08-14 09:00:00,127.0,130.0,104.0,124.0,42957607.26462757,354748.68778679
2018-08-15 09:00:00,122.0,135.0,120.0,121.0,36897033.90153012,290872.14397956
2018-08-16 09:00:00,124.0,134.0,121.0,130.0,40503219.15039333,314647.29190274
2018-08-17 09:00:00,130.0,175.0,125.0,153.0,96860652.80351016,669248.4506863
2018-08-18 09:00:00,153.0,183.0,133.0,140.0,396151781.8273491,2532115.18513435
2018-08-19 09:00:00,139.0,145.0,135.0,142.0,44355685.66046988,317407.80637868
2018-08-20 09:00:00,142.0,145.0,131.0,133.0,41815755.67533301,303413.70393113
2018-08-21 09:00:00,132.0,135.0,128.0,130.0,26075108.74476538,197990.17479326
2018-08-22 09:00:00,132.0,139.0,125.0,126.0,39867396.02709363,297944.96417139
2018-08-23 09:00:00,128.0,132.0,121.0,131.0,32180715.80671234,254361.5526906
2018-08-24 09:00:00,131.0,136.0,128.0,136.0,23329242.4134511,179268.6763588
2018-08-25 09:00:00,136.0,144.0,133.0,144.0,22460545.16790789,163481.51056024
2018-08-26 09:00:00,144.0,144.0,136.0,141.0,13479917.66875945,96913.47974626
2018-08-27 09:00:00,140.0,157.0,138.0,151.0,46754747.03067164,313260.08609259
2018-08-28 09:00:00,149.0,158.0,149.0,154.0,49760418.73744901,328159.1319417
2018-08-29 09:00:00,154.0,156.0,148.0,154.0,45808345.19526765,300929.81568819
2018-08-30 09:00:00,153.0,182.0,152.0,172.0,1405123898.4498613,8272625.89719213
2018-08-31 09:00:00,172.0,176.0,153.0,164.0,468791759.17961216,2916999.7657482
2018-09-01 09:00:00,164.0,169.0,159.0,168.0,213918074.77534533,1307194.48055662
2018-09-02 09:00:00,168.0,168.0,155.0,159.0,132731291.0433872,828804.54717859
2018-09-03 09:00:00,158.0,158.0,153.0,158.0,29507017.2155534,189706.44119234
2018-09-04 09:00:00,157.0,160.0,155.0,157.0,55223654.06674921,350972.72227234
2018-09-05 09:00:00,157.0,158.0,130.0,130.0,94453630.12438309,644727.76983983
2018-09-06 09:00:00,130.0,135.0,123.0,132.0,40497652.16963032,316079.6813456
2018-09-07 09:00:00,132.0,138.0,124.0,127.0,38604142.45259027,290634.72023615
2018-09-08 09:00:00,130.0,130.0,116.0,118.0,25425273.10787298,206498.56512533
2018-09-09 09:00:00,118.0,129.0,115.0,127.0,9588551.44510462,78792.27178706
2018-09-10 09:00:00,125.0,155.0,125.0,130.0,79360602.84608328,604122.19427988
2018-09-11 09:00:00,130.0,131.0,119.0,123.0,19220520.25198587,152935.57164457
2018-09-12 09:00:00,123.0,123.0,114.0,117.0,19750649.0141078,168353.65450899
2018-09-13 09:00:00,120.0,130.0,118.0,127.0,25598147.69835885,205508.01170193
2018-09-14 09:00:00,127.0,128.0,117.0,122.0,14109939.08185617,115525.80242752
2018-09-15 09:00:00,122.0,126.0,120.0,120.0,14131777.55505939,115380.61310107
2018-09-16 09:00:00,121.0,136.0,118.0,125.0,214894825.89156938,1658772.26608532
2018-09-17 09:00:00,125.0,137.0,114.0,120.0,277617854.06690514,2114761.81067525
2018-09-18 09:00:00,119.0,125.0,117.0,123.0,30119018.81763685,249850.909222
2018-09-19 09:00:00,123.0,130.0,121.0,126.0,39714677.57603175,316460.04488116
2018-09-20 09:00:00,126.0,130.0,124.0,128.0,51877111.34600738,406275.25975429
2018-09-21 09:00:00,129.0,160.0,125.0,138.0,197625155.8925661,1401612.37867107
2018-09-22 09:00:00,137.0,144.0,128.0,138.0,46253768.02764261,340410.80446355
2018-09-23 09:00:00,136.0,142.0,134.0,137.0,63909085.30352192,461324.47726831
2018-09-24 09:00:00,136.0,142.0,129.0,131.0,34963393.61188096,257177.04807869
2018-09-25 09:00:00,132.0,145.0,124.0,135.0,238115269.27072775,1769780.74183798
2018-09-26 09:00:00,135.0,140.0,132.0,136.0,26391061.26548013,195022.50792512
2018-09-27 09:00:00,136.0,144.0,133.0,143.0,66251268.52780016,486902.53800464
2018-09-28 09:00:00,144.0,147.0,138.0,145.0,79441781.84331216,556642.72161741
2018-09-29 09:00:00,144.0,146.0,140.0,144.0,34889004.15270368,245149.70024559
2018-09-30 09:00:00,144.0,155.0,139.0,140.0,145271878.03994456,1011826.68756123
2018-10-01 09:00:00,141.0,142.0,127.0,139.0,60820424.25100287,447341.38586037
2018-10-02 09:00:00,138.0,148.0,137.0,142.0,34082262.80561643,239983.46496368
2018-10-03 09:00:00,141.0,142.0,135.0,138.0,8934375.68708045,64961.460318
2018-10-04 09:00:00,138.0,142.0,138.0,140.0,14815400.50900428,106579.17961042
2018-10-05 09:00:00,142.0,147.0,137.0,142.0,75454192.50480095,533243.57298797
2018-10-06 09:00:00,145.0,152.0,142.0,142.0,71599587.51100941,484144.93013388
2018-10-07 09:00:00,143.0,146.0,139.0,143.0,12266168.37059529,86588.17964805
2018-10-08 09:00:00,142.0,145.0,140.0,143.0,18611531.58902441,130815.8190099
2018-10-09 09:00:00,143.0,144.0,139.0,141.0,14367927.12682301,102143.51918653
2018-10-10 09:00:00,141.0,205.0,137.0,150.0,1972417998.483862,12175824.93776264
2018-10-11 09:00:00,150.0,150.0,126.0,130.0,423600925.4464323,3044322.22680391
2018-10-12 09:00:00,130.0,139.0,124.0,133.0,133203459.36381657,1011068.69325147
2018-10-13 09:00:00,133.0,146.0,133.0,137.0,203453601.58345023,1464639.94970533
2018-10-14 09:00:00,137.0,141.0,134.0,135.0,105551240.19437014,772148.90364935
2018-10-15 09:00:00,135.0,166.0,134.0,148.0,1617174501.5275416,10632289.75959828
2018-10-16 09:00:00,148.0,150.0,141.0,145.0,195251845.33637914,1356765.18266404
2018-10-17 09:00:00,144.0,156.0,142.0,147.0,247918207.58827224,1672012.5300328
2018-10-18 09:00:00,146.0,151.0,144.0,146.0,90792186.3631494,616264.61995309
2018-10-19 09:00:00,148.0,158.0,145.0,154.0,646360206.5702168,4245363.26267086
2018-10-20 09:00:00,154.0,162.0,150.0,160.0,241573075.63801536,1539047.63739352
2018-10-21 09:00:00,160.0,163.0,152.0,154.0,215881331.1334046,1381501.99923158
2018-10-22 09:00:00,153.0,154.0,147.0,153.0,273007686.8128941,1817616.03710966
2018-10-23 09:00:00,153.0,153.0,148.0,152.0,100277054.15420642,663389.79120357
2018-10-24 09:00:00,151.0,154.0,150.0,151.0,71148572.8140855,469146.32813883
2018-10-25 09:00:00,153.0,154.0,146.0,146.0,118080681.33147395,792338.24188027
2018-10-26 09:00:00,148.0,154.0,144.0,152.0,296261885.7436615,1980925.55931738
2018-10-27 09:00:00,152.0,166.0,151.0,156.0,345549093.70315725,2170740.54995899
2018-10-28 09:00:00,156.0,163.0,151.0,161.0,153492744.17437398,980383.51266623
2018-10-29 09:00:00,162.0,163.0,142.0,147.0,145181112.29768774,961802.52060784
2018-10-30 09:00:00,148.0,155.0,143.0,153.0,85713392.54260008,575927.04045262
2018-10-31 09:00:00,152.0,158.0,148.0,157.0,57837707.3990147,379009.62819304
2018-11-01 09:00:00,157.0,171.0,155.0,163.0,167250968.77249375,1027561.91917717
2018-11-02 09:00:00,164.0,176.0,161.0,165.0,113650540.8164205,682406.36412557
2018-11-03 09:00:00,165.0,177.0,165.0,168.0,381788421.6477342,2232204.24905616
2018-11-04 09:00:00,168.0,172.0,160.0,161.0,162407475.4879927,989184.09904458
2018-11-05 09:00:00,161.0,164.0,157.0,158.0,72618673.82393607,455517.60953942
2018-11-06 09:00:00,158.0,161.0,151.0,155.0,98882081.86705327,635481.38300194
2018-11-07 09:00:00,154.0,177.0,153.0,158.0,1234621994.7685893,7392954.34632834
2018-11-08 09:00:00,158.0,159.0,150.0,154.0,228718586.28171653,1483899.81426848
2018-11-09 09:00:00,154.0,155.0,148.0,150.0,68472288.12795901,452620.59895647
2018-11-10 09:00:00,151.0,151.0,147.0,150.0,27219573.86307356,182981.86792919
