,opening_price,high_price,low_price,trade_price,candle_acc_trade_price,candle_acc_trade_volume
2020-12-02 09:00:00,14.0,26.1,11.2,11.6,63339416707.40456,4102286880.390429
2020-12-03 09:00:00,11.6,14.0,11.0,11.5,15221880836.206367,1250135138.0406826
2020-12-04 09:00:00,11.4,12.0,10.3,10.4,3295076920.2896595,297281242.02361834
2020-12-05 09:00:00,10.3,11.3,9.99,10.7,3684432690.6999974,348287492.0578031
2020-12-06 09:00:00,10.6,11.4,10.5,11.0,3681713533.4648128,335296017.4798888
2020-12-07 09:00:00,11.0,13.4,11.0,12.6,16323384979.619957,1328006283.5099397
2020-12-08 09:00:00,12.6,12.7,11.0,11.4,5002363259.602242,425412120.23312736
2020-12-09 09:00:00,11.4,11.6,10.3,11.4,2678559666.9905195,246016142.80488226
2020-12-10 09:00:00,11.4,11.4,10.5,10.8,1426007323.350518,131199970.08879945
2020-12-11 09:00:00,10.8,11.1,9.94,9.94,1910855116.9485226,184202903.13696972
2020-12-12 09:00:00,9.94,10.5,9.9,10.2,1335584258.008063,131190896.10233505
2020-12-13 09:00:00,10.2,10.4,10.0,10.0,1404405556.6919842,138363412.25789502
2020-12-14 09:00:00,10.2,10.9,10.0,10.6,3923893279.3186917,373979838.66124046
2020-12-15 09:00:00,10.5,10.6,10.1,10.2,1295865118.6119215,125634460.1889455
2020-12-16 09:00:00,10.2,10.6,10.0,10.3,2366130267.6038995,230278880.43203902
2020-12-17 09:00:00,10.3,10.3,9.98,10.2,1402264073.9796858,139015405.00039077
2020-12-18 09:00:00,10.2,10.5,9.98,10.4,1500322287.9259672,147666421.50173602
2020-12-19 09:00:00,10.5,11.0,10.1,10.6,5227225419.318384,497861827.191925
2020-12-20 09:00:00,10.5,11.4,10.4,10.8,2925236059.5241346,272827600.3601892
2020-12-21 09:00:00,10.8,10.8,10.0,10.3,1921186694.523342,184391449.50350827
2020-12-22 09:00:00,10.4,10.5,10.1,10.4,1224347067.7602727,119330054.17844132
2020-12-23 09:00:00,10.3,10.4,8.69,9.05,1191222069.5356774,121983892.89315361
2020-12-24 09:00:00,9.04,9.57,8.5,9.54,487128319.7811908,54944357.64916139
2020-12-25 09:00:00,9.55,10.2,8.87,9.32,743385006.46769,76431465.75059842
2020-12-26 09:00:00,9.31,9.42,9.0,9.06,279124631.6479096,30622731.42408312
2020-12-27 09:00:00,9.15,10.8,9.15,9.76,6183019510.652919,619011936.250639
2020-12-28 09:00:00,9.75,10.1,9.62,9.8,440205347.6887795,44900808.18114542
2020-12-29 09:00:00,9.8,10.3,9.37,9.6,964491955.7288992,98351602.37551434
2020-12-30 09:00:00,9.6,10.1,9.56,9.7,757352828.7872863,77107630.98919445
2020-12-31 09:00:00,9.7,12.4,9.63,10.3,16192650244.926523,1523597955.1273406
2021-01-01 09:00:00,10.3,11.5,10.0,10.9,6259880553.241883,580910980.2336712
2021-01-02 09:00:00,10.9,10.9,10.1,10.3,1693587540.2569165,163350082.72781917
2021-01-03 09:00:00,10.4,10.9,9.52,10.0,2823399956.7946715,274929332.8495819
2021-01-04 09:00:00,10.0,10.1,9.26,9.62,1182472887.3401163,121519842.65473408
2021-01-05 09:00:00,9.63,9.79,9.11,9.68,780876340.6493332,82883921.21713613
2021-01-06 09:00:00,9.68,9.7,9.3,9.6,843012790.1747782,89432999.61761272
2021-01-07 09:00:00,9.61,9.76,9.3,9.71,1051844222.6069417,110904843.05522838
2021-01-08 09:00:00,9.71,10.3,9.28,10.2,4292341162.8678555,438328186.1283366
2021-01-09 09:00:00,10.1,10.9,9.93,10.7,4581637699.787448,437357719.89963704
2021-01-10 09:00:00,10.7,10.7,9.5,9.96,5957595833.259022,596002334.8231331
2021-01-11 09:00:00,9.96,11.5,8.65,10.0,14573069774.678112,1433261548.9333596
2021-01-12 09:00:00,10.0,10.3,9.1,9.58,3433254539.423731,354256170.25426364
2021-01-13 09:00:00,9.57,9.81,9.25,9.75,1030339210.9690143,108592244.98444194
2021-01-14 09:00:00,9.7,10.3,9.54,9.89,2471338395.8970323,249255821.77921116
2021-01-15 09:00:00,9.89,9.89,9.36,9.82,854422498.2407889,88770234.91734889
2021-01-16 09:00:00,9.83,10.2,9.63,10.2,1800226331.2912247,181358005.5754699
2021-01-17 09:00:00,10.1,10.4,9.57,10.0,1441394187.19438,145068894.00337672
2021-01-18 09:00:00,10.0,10.1,9.68,10.0,930982168.0466809,93905949.08521906
2021-01-19 09:00:00,9.98,10.2,9.85,10.1,1094526622.7381637,109799559.44475585
2021-01-20 09:00:00,10.1,10.6,9.63,10.4,1887805992.3398,187332373.19681016
2021-01-21 09:00:00,10.4,10.4,9.52,9.69,2058087016.8041835,208885738.72650102
2021-01-22 09:00:00,9.7,10.1,8.95,9.86,1542315524.9421556,160591441.48863065
2021-01-23 09:00:00,9.8,9.8,9.46,9.7,663027677.5541834,68714597.1861405
2021-01-24 09:00:00,9.7,9.9,9.42,9.71,684143895.8872597,70961752.26418363
2021-01-25 09:00:00,9.71,9.82,9.53,9.61,642368003.3546382,66622970.10892705
2021-01-26 09:00:00,9.61,9.97,9.35,9.51,1241190557.7604332,128601527.90732023
2021-01-27 09:00:00,9.49,10.2,9.16,9.59,7344199508.409158,752695855.5163333
2021-01-28 09:00:00,9.6,9.9,9.37,9.74,1890201862.7757568,196113972.52221188
2021-01-29 09:00:00,9.74,9.84,9.45,9.64,1367551454.7571602,142075236.16939545
2021-01-30 09:00:00,9.64,9.64,9.32,9.41,574274684.9365917,60692097.03182628
2021-01-31 09:00:00,9.41,9.66,9.28,9.34,812610682.9636045,86154076.72936767
2021-02-01 09:00:00,9.29,9.49,9.12,9.36,823587651.0958738,88882323.92368694
2021-02-02 09:00:00,9.35,10.8,9.2,9.69,9181820525.989187,919117504.9249246
2021-02-03 09:00:00,9.69,10.6,9.51,9.98,4157065634.2638144,418095728.6927044
2021-02-04 09:00:00,9.98,10.1,9.5,9.82,1537751961.833331,156569494.4338359
